DateTime,AddedIPs,RemovedIPs
1542678722,1,0
1542679324,3,0
1542679925,7,14
1542680523,3,10
1542681123,21,13
1542681723,5,5
1542682323,4,0
1542682923,8,25
1542683523,1,18
1542684123,3,0
1542684724,6,3
1542685322,3,10
1542685923,3,21
1542686523,4,8
1542687123,3,0
1542687723,7,18
1542688323,6,0
1542688923,4,25
1542690124,3,7
1542690724,8,30
1542691324,2,3
1542692522,3,58
1542693724,2,5
1542694923,8,48
1542695523,8,39
1542696124,11,15
1542696723,5,28
1542697324,3,0
1542697923,5,12
1542698523,8,4
1542699123,5,0
1542699723,5,7
1542700324,6,17
1542700924,9,0
1542701524,2,14
1542702123,5,16
1542702723,2,17
1542703322,6,7
1542704523,3,16
1542705123,6,0
1542705723,5,10
1542706923,5,19
1542708124,2,15
1542708723,4,4
1542709323,2,16
1542710523,4,16
1542711723,5,3
1542712924,9,26
1542714123,3,16
1542715323,6,22
1542715923,2,0
1542716524,5,4
1542718923,9,1
1542719523,17,0
1542720123,5,9
1542720724,6,14
1542721325,3,0
1542721923,10,0
1542722523,6,6
1542723123,6,16
1542723723,11,8
1542724924,2,0
1542725525,6,11
1542726123,2,6
1542726723,9,5
1542727323,8,0
1542728524,3,33
1542729124,4,0
1542729723,9,10
1542730323,3,13
1542730923,10,0
1542732124,5,13
1542732724,4,8
1542733323,4,5
1542734523,8,28
1542735123,5,0
1542735723,1,0
1542736323,4,19
1542736923,4,0
1542737525,11,10
1542738123,3,21
1542738724,8,0
1542739922,3,38
1542740523,1,0
1542741124,5,10
1542741723,3,8
1542742923,5,26
1542744123,10,55
1542745324,4,38
1542745923,6,0
1542746523,0,14
1542747123,39,0
1542747723,7,21
1542748323,10,15
1542748923,2,0
1542750123,4,31
1542751323,6,20
1542752524,8,6
1542753723,2,9
1542754322,8,7
1542754923,2,0
1542755523,3,21
1542756123,6,3
1542757323,5,8
1542758525,5,10
1542759124,2,0
1542759722,7,0
1542760323,0,20
1542760924,5,6
1542762123,5,12
1542762723,4,7
1542763323,5,13
1542764523,3,0
1542765123,5,12
1542765723,4,8
1542766923,1,14
1542768123,6,41
1542768723,4,0
1542769324,2,19
1542769923,5,42
1542770523,4,19
1542771123,2,0
1542771724,5,0
1542772923,2,30
1542773523,11,13
1542774123,7,0
1542774724,5,15
1542775323,4,17
1542775923,5,23
1542776524,2,0
1542777724,8,28
1542778323,5,11
1542778923,7,0
1542779522,12,24
1542780123,3,53
1542780724,7,0
1542781324,3,23
1542781923,5,0
1542782523,15,12
1542783724,8,20
1542784323,10,23
1542784923,3,31
1542786123,8,32
1542786722,6,0
1542787323,5,35
1542787925,4,23
1542788523,9,27
1542790924,8,71
1542791524,2,0
1542792123,6,26
1542793323,4,43
1542794524,10,35
1542795124,4,0
1542795723,2,26
1542796324,4,18
1542796923,5,13
1542798123,8,35
1542799323,1,12
1542799923,4,0
1542800524,3,20
1542801723,3,25
1542802323,9,40
1542802923,4,85
1542803522,2,0
1542804123,4,3
1542805323,4,8
1542806525,2,25
1542807723,2,28
1542808923,6,57
1542810123,9,8
1542810723,5,14
1542811323,3,0
1542811923,4,8
1542812523,10,56
1542813123,1,23
1542813723,3,26
1542814323,2,17
1542814923,4,11
1542815523,3,12
1542816123,4,0
1542816724,5,6
1542817323,8,0
1542817922,4,2
1542818525,7,3
1542819122,3,0
1542819725,2,4
1542820924,4,4
1542822123,3,16
1542823323,4,2
1542823923,7,0
1542824523,5,4
1542825723,0,13
1542826323,1,7
1542828123,3,6
1542829323,2,25
1542830524,6,12
1542831123,6,7
1542831723,3,7
1542832923,6,1
1542834123,33,12
1542834723,9,0
1542835323,14,0
1542835923,9,8
1542836523,4,2
1542837724,4,14
1542838324,8,8
1542838923,4,0
1542839523,5,11
1542840123,3,0
1542840724,4,6
1542841323,3,7
1542841923,3,6
1542842523,3,4
1542843123,3,11
1542843723,2,2
1542844323,10,3
1542845523,3,4
1542846123,1,15
1542847324,2,14
1542848524,6,5
1542849125,2,13
1542849723,4,6
1542850323,8,0
1542850923,6,0
1542852124,3,12
1542853324,4,11
1542853923,6,33
1542854523,4,9
1542855123,5,0
1542855723,8,0
1542856324,5,14
1542856924,3,7
1542857523,8,13
1542858123,33,5
1542858724,9,0
1542859323,6,12
1542860523,2,58
1542861124,4,14
1542861724,1,12
1542862322,1,23
1542862923,5,0
1542864123,2,74
1542864724,2,0
1542865323,3,34
1542866523,3,24
1542867723,5,35
1542868323,5,0
1542868923,2,8
1542870123,2,24
1542870723,21,5
1542871323,19,5
1542871923,18,0
1542872523,4,13
1542873123,2,0
1542873723,3,7
1542874924,4,13
1542875523,5,0
1542876123,2,3
1542876723,7,0
1542877323,4,22
1542878523,1,27
1542879123,3,16
1542879725,3,0
1542880923,2,11
1542881525,3,13
1542882123,7,0
1542883323,6,9
1542884523,1,7
1542885723,4,10
1542886923,1,11
1542888123,7,20
1542889323,1,10
1542890523,5,7
1542891724,2,16
1542892324,4,9
1542892923,8,7
1542894123,7,0
1542895323,5,19
1542896523,2,6
1542897123,8,21
1542897723,7,0
1542898323,2,5
1542898924,1,33
1542899523,5,8
1542900124,5,0
1542901324,3,24
1542902523,6,6
1542903124,7,4
1542903723,8,11
1542904323,4,0
1542904924,4,0
1542905523,0,3
1542906123,6,5
1542906723,5,6
1542907323,7,9
1542907924,2,4
1542908523,0,4
1542909723,3,12
1542910323,1,5
1542910923,6,38
1542911524,6,19
1542912124,3,0
1542912723,7,8
1542913323,7,16
1542913924,3,55
1542914524,4,4
1542915124,3,0
1542915723,6,0
1542916323,3,5
1542916923,2,7
1542917523,0,13
1542918123,2,0
1542919325,3,13
1542920523,27,23
1542921723,5,21
1542922923,4,21
1542924123,2,5
1542925323,3,7
1542925924,5,7
1542926524,1,6
1542927724,4,0
1542928324,3,8
1542928924,3,13
1542929523,1,0
1542930124,3,58
1542930723,4,0
1542931324,5,8
1542931923,6,16
1542932523,2,0
1542933123,2,9
1542933723,10,4
1542934923,4,6
1542935525,2,10
1542936123,0,2
1542936723,2,14
1542937323,4,5
1542937923,9,8
1542938523,3,0
1542939723,5,27
1542940323,4,23
1542940923,4,20
1542942123,1,31
1542942724,5,0
1542943323,3,11
1542943923,5,13
1542944522,1,0
1542945123,3,13
1542945723,5,0
1542946326,5,5
1542946923,1,14
1542948123,6,49
1542948723,4,28
1542949323,2,13
1542949925,2,15
1542950524,6,0
1542951725,4,15
1542952923,0,30
1542953524,4,0
1542954123,7,0
1542954723,1,10
1542955323,2,6
1542955923,0,2
1542956523,3,4
1542957124,15,8
1542957723,13,5
1542958923,5,4
1542959524,3,8
1542960123,2,0
1542960724,1,14
1542961324,3,0
1542962523,3,37
1542963723,3,0
1542964323,0,3
1542964923,3,5
1542965523,4,13
1542966123,5,8
1542967324,0,2
1542968523,1,5
1542969123,1,0
1542969724,3,8
1542970323,5,10
1542970923,5,0
1542972123,7,19
1542973323,0,8
1542974523,3,21
1542975122,0,6
1542975723,4,7
1542976924,6,10
1542977523,3,8
1542978123,2,21
1542979323,2,7
1542979923,6,21
1542980523,4,10
1542981723,4,12
1542982323,8,6
1542982923,2,1
1542983523,6,0
1542984126,5,9
1542985323,2,0
1542985923,4,17
1542986524,9,0
1542987723,3,6
1542988924,4,9
1542989525,3,7
1542990123,6,7
1542990723,3,4
1542991323,1,4
1542992523,7,8
1542993124,3,0
1542993723,3,3
1542994923,5,10
1542996123,4,15
1542996724,1,0
1542997323,1,19
1542998523,6,0
1542999723,9,17
1543000324,2,3
1543000923,5,5
1543001523,3,0
1543002123,1,19
1543002723,1,0
1543003323,2,0
1543003923,4,10
1543004523,1,6
1543005724,6,29
1543006324,4,0
1543006923,13,13
1543007523,5,0
1543008123,3,0
1543009323,9,16
1543009923,9,13
1543010523,1,3
1543011125,1,0
1543011724,4,37
1543012323,2,35
1543012923,5,26
1543013523,3,23
1543014123,4,0
1543014723,2,20
1543015323,5,0
1543015923,3,5
1543016524,4,0
1543017724,2,33
1543018323,5,2
1543018923,7,0
1543019523,4,5
1543020123,0,4
1543020723,3,0
1543021323,5,45
1543021925,1,0
1543022524,0,3
1543023123,3,0
1543023723,2,6
1543024323,0,8
1543024923,3,0
1543026123,2,15
1543026723,1,0
1543027323,2,0
1543027924,1,0
1543028524,3,8
1543029124,1,11
1543029723,3,0
1543030324,0,16
1543030923,3,5
1543031523,3,4
1543032122,1,0
1543033323,4,13
1543033924,3,16
1543034524,2,10
1543035723,4,11
1543036323,4,8
1543036923,4,0
1543038123,4,20
1543038723,5,18
1543039324,4,0
1543039923,1,7
1543040523,1,0
1543041123,6,7
1543041723,4,11
1543042923,2,16
1543043523,5,23
1543044723,3,13
1543045323,33,0
1543045923,6,7
1543046524,4,30
1543047724,4,9
1543048323,0,6
1543048923,1,70
1543050123,3,0
1543050723,5,13
1543051324,2,7
1543051923,1,5
1543052523,1,5
1543053124,3,7
1543053723,6,2
1543054923,2,3
1543056123,4,12
1543057323,6,7
1543057923,4,7
1543058524,3,14
