DateTime,AddedIPs,RemovedIPs
1542640324,1,7
1542640923,4,7
1542641523,2,0
1542642123,19,0
1542643324,8,28
1542643922,7,0
1542644523,1,11
1542645123,0,3
1542645723,2,3
1542647524,1,13
1542648123,28,0
1542649324,17,18
1542649923,20,0
1542650523,7,0
1542651723,11,2
1542652323,3,6
1542652923,1,0
1542654122,0,19
1542655323,0,4
1542656523,3,10
1542657123,26,8
1542657723,21,0
1542658923,9,25
1542660123,11,0
1542661323,8,20
1542661923,6,13
1542662524,7,0
1542663723,5,7
1542664323,2,0
1542664924,8,2
1542665523,4,0
1542666123,3,2
1542666723,1,2
1542667323,0,7
1542668523,2,1
1542669123,8,0
1542669723,1,0
1542670922,23,26
1542672125,11,0
1542673323,6,2
1542673923,0,8
1542675723,10,1
1542676323,0,5
1542678123,0,21
1542679324,5,0
1542680523,28,19
1542681123,3,21
1542681723,14,14
1542682323,9,0
1542682922,2,9
1542683523,2,0
1542684122,2,6
1542685322,8,32
1542685923,7,0
1542686523,1,0
1542687723,3,11
1542688323,4,0
1542688923,11,0
1542689524,2,0
1542690123,5,6
1542690724,4,12
1542692522,2,10
1542693723,17,14
1542694923,19,2
1542695523,16,4
1542696124,3,2
1542697324,6,4
1542697923,3,1
1542698523,1,0
1542699723,1,3
1542700324,1,10
1542701523,0,18
1542702122,1,0
1542702722,0,15
1542703322,4,12
1542704523,14,16
1542705123,10,0
1542705723,8,0
1542706923,4,12
1542708123,2,0
1542708723,0,6
1542709323,4,0
1542709923,2,2
1542710523,2,16
1542711723,4,0
1542712923,21,12
1542714123,18,17
1542715323,13,0
1542715923,3,10
1542717723,3,5
1542718923,8,11
1542719523,1,0
1542720123,9,12
1542720723,2,17
1542721324,10,12
1542722523,7,0
1542723123,11,6
1542723723,12,5
1542724323,2,0
1542724924,1,14
1542725525,4,7
1542726123,2,0
1542727323,8,21
1542728523,9,18
1542729123,19,0
1542729722,4,28
1542730323,4,2
1542730922,1,8
1542732124,0,11
1542732723,6,0
1542734523,2,17
1542735723,11,8
1542736323,12,6
1542736923,3,0
1542738123,24,20
1542738723,23,14
1542739322,0,9
1542739922,5,0
1542741723,1,29
1542742923,5,0
1542744123,0,27
1542745324,17,38
1542745923,11,0
1542746523,3,22
1542747123,1,0
1542747723,5,2
