DateTime,AddedIPs,RemovedIPs
1542663723,95,95
1542664323,50,50
1542664924,39,39
1542665523,31,31
1542666123,23,23
1542666723,15,15
1542667323,10,10
1542668523,44,44
1542669123,52,52
1542669723,39,39
1542670922,98,98
1542672125,100,100
1542673323,39,39
1542673923,7,7
1542674523,12,12
1542675723,89,89
1542676323,15,15
1542676925,9,9
1542678123,36,36
1542678722,8,8
1542679324,17,17
1542680523,99,99
1542681123,63,63
1542681723,82,82
1542682323,92,92
1542682922,49,49
1542683523,73,73
1542684122,72,72
1542685322,100,100
1542685923,91,91
1542686523,35,35
1542687723,38,38
1542688323,19,19
1542688923,55,55
1542689524,37,37
1542690123,57,57
1542690724,29,29
1542691324,11,11
1542692522,45,45
1542693723,99,99
1542694923,100,100
1542695523,72,72
1542696124,57,57
1542697324,38,38
1542697923,25,25
1542698523,18,18
1542699723,40,40
1542700324,13,13
1542700924,6,6
1542701523,25,25
1542702122,18,18
1542702722,6,6
1542703322,45,45
1542704523,93,93
1542705123,91,91
1542705723,97,97
1542706923,56,56
1542708123,62,62
1542708723,56,56
1542709323,79,79
1542709923,41,41
1542710523,39,39
1542711723,63,63
1542712923,89,89
1542714123,58,58
1542715323,42,42
1542715923,17,17
1542716524,6,6
1542717723,97,97
1542718923,69,69
1542719523,58,58
1542720123,48,48
1542720723,68,68
1542721324,68,68
1542722523,96,96
1542723123,97,97
1542723723,63,63
1542724323,19,19
1542724924,26,26
1542725525,78,78
1542726123,25,25
1542727323,60,60
1542728523,98,98
1542729123,79,79
1542729722,64,64
1542730323,32,32
1542730922,30,30
1542732124,27,27
1542732723,35,35
1542733323,29,29
1542734523,35,35
1542735723,96,96
1542736323,51,51
1542736923,88,88
1542738123,100,100
1542738723,93,93
1542739322,3,3
1542739922,42,42
1542740523,12,12
1542741723,24,24
1542742923,99,99
1542744123,19,19
1542745324,90,90
1542745923,85,85
1542746523,76,76
1542747123,61,61
1542747723,86,86
1542748323,90,90
1542748922,66,66
1542750123,74,74
1542750723,21,21
1542751323,49,49
1542752524,81,81
1542753723,66,66
1542754923,36,36
1542755523,12,12
1542756123,23,23
1542757323,93,93
1542758524,82,82
1542759722,99,99
1542760323,67,67
1542760924,3,3
1542761522,79,79
1542762123,26,26
1542762723,22,22
1542763323,19,19
1542764523,18,18
1542765723,46,46
1542766322,75,75
1542766923,8,8
1542767523,50,50
1542768123,60,60
1542769324,58,58
1542769922,25,25
1542770523,9,9
1542771123,46,46
1542771724,91,91
1542772923,100,100
1542773523,54,54
1542774123,82,82
1542775323,87,87
1542776523,90,90
1542777124,88,88
1542777723,44,44
1542778323,70,70
1542778923,30,30
1542780123,16,16
1542780724,73,73
1542781324,78,78
1542781923,10,10
1542782523,16,16
1542783724,92,92
1542784323,20,20
1542784923,61,61
1542786123,88,88
1542786722,12,12
1542787323,22,22
1542787924,13,13
1542788523,3,3
1542789723,39,39
1542790924,83,83
1542792123,88,88
1542793323,54,54
1542794523,99,99
1542795723,99,99
1542796923,100,100
1542798123,99,99
1542799323,90,90
1542799923,43,43
1542800523,43,43
1542801723,47,47
1542802323,34,34
1542802922,44,44
1542803522,34,34
1542804123,39,39
1542805322,80,80
1542806524,55,55
1542807723,100,100
1542808923,98,98
1542809524,87,87
1542810123,61,61
1542810723,48,48
1542811323,86,86
1542811923,77,77
1542812523,66,66
1542813723,99,99
1542814923,95,95
1542815523,79,79
1542816123,70,70
1542816724,25,25
1542817323,31,31
1542818524,50,50
1542819122,42,42
1542819725,37,37
1542820323,76,76
1542820924,98,98
1542822122,100,100
1542822723,98,98
1542823322,66,66
1542823923,48,48
1542824523,72,72
1542825723,99,99
1542826322,21,21
1542826924,59,59
1542828123,44,44
1542829322,53,53
1542829923,81,81
1542830524,73,73
1542831123,94,94
1542831723,2,2
1542832323,100,100
1542832923,74,74
1542834123,99,99
1542835323,97,97
1542835923,46,46
1542836522,37,37
1542837723,49,49
1542838324,49,49
1542838922,31,31
1542840123,38,38
1542840723,22,22
1542841323,45,45
1542841923,52,52
1542842523,32,32
1542843122,37,37
1542843722,46,46
