DateTime,AddedIPs,RemovedIPs
1541261702,225,0
1541265302,204,0
1541268902,171,0
1541272502,187,0
1541276102,179,0
1541279702,177,0
1541283302,154,0
1541286902,183,0
1541290502,157,3794
1541294102,210,0
1541297702,173,0
1541301302,153,0
1541304902,124,0
1541308502,195,0
1541312102,203,0
1541315702,184,0
1541319301,182,0
1541322902,199,0
1541326502,159,0
1541330102,388,0
1541333702,228,0
1541337302,492,0
1541340902,320,0
1541344501,203,0
1541348102,217,0
1541351702,169,0
1541355302,137,0
1541358902,115,0
1541362502,143,0
1541366102,161,0
1541369702,189,0
1541373302,178,0
1541376902,149,3975
1541380502,157,0
1541384103,153,0
1541387702,123,0
1541391302,135,0
1541394902,172,0
1541398502,185,0
1541402102,229,0
1541405702,237,0
1541409302,214,0
1541412902,195,0
1541416502,465,0
1541420102,420,0
1541423702,470,0
1541427303,214,0
1541430902,438,0
1541434502,364,0
1541438102,178,0
1541441702,158,0
1541445302,128,0
1541448902,125,0
1541452502,156,0
1541456102,140,0
1541459702,157,0
1541463302,181,4703
1541466902,237,0
1541470502,169,0
1541474102,123,0
1541477702,146,0
1541481302,184,0
1541484902,206,0
1541488502,191,0
1541492102,165,0
1541495702,186,0
1541499302,169,0
1541502901,222,0
1541506503,210,0
1541510102,250,0
1541513702,199,0
1541517302,196,0
1541520902,183,0
1541524502,184,0
1541528102,135,0
1541531702,175,0
1541535302,151,0
1541538902,175,0
1541542502,185,0
1541546102,162,0
1541549702,305,5635
1541553302,168,0
1541556902,173,0
1541560502,139,0
1541564102,129,0
1541567702,153,0
1541571302,151,0
1541574902,164,0
1541578502,229,0
1541582102,523,0
1541585702,193,0
1541589302,170,0
1541592901,187,0
1541596502,227,0
1541600102,319,0
1541603702,222,0
1541607303,188,0
1541610902,237,0
1541614502,172,0
1541618102,164,0
1541621702,190,0
1541625302,259,0
1541628902,243,0
1541632502,206,0
1541636102,162,4647
1541639702,242,0
1541643302,245,0
1541646902,223,0
1541650502,129,0
1541654102,138,0
1541657702,187,0
1541661302,219,0
1541664902,284,0
1541668502,313,1
1541672102,337,0
1541675702,262,0
1541679302,275,0
1541682902,218,0
1541686502,262,0
1541690102,275,0
1541693702,299,0
1541697302,184,0
1541700902,142,0
1541704502,149,0
1541708102,141,1
1541711703,155,0
1541715302,287,0
1541718902,170,0
1541722502,166,4834
1541726102,171,0
1541729702,206,0
1541733303,167,0
1541736902,185,0
1541740502,136,0
1541744102,161,0
1541747702,154,0
1541751302,143,0
1541754902,367,0
1541758502,343,0
1541762102,228,0
1541765702,280,0
1541769302,241,0
1541772902,184,0
1541776502,209,0
1541780102,193,0
1541783702,204,0
1541787302,133,0
1541790902,213,0
1541794502,251,0
1541798102,215,0
1541801702,125,0
1541805302,120,0
1541808902,105,5306
1541812502,141,0
1541816101,116,0
1541819702,141,0
1541823302,129,0
1541826902,135,0
1541830502,136,0
1541834102,159,0
1541837702,172,0
1541841302,155,0
1541844902,157,0
1541848502,122,0
1541852102,125,0
1541855703,121,0
1541859302,144,0
1541862902,126,0
1541866502,175,0
1541870102,126,0
1541873702,167,1
1541877302,168,0
1541880902,235,0
1541884502,233,0
1541888102,135,0
1541891702,109,0
1541895302,121,4909
1541898902,261,0
1541902502,225,0
1541906102,161,0
1541909701,122,0
1541913302,135,0
1541916902,107,0
1541920502,144,0
1541924102,178,0
1541927702,152,0
1541931302,197,0
1541934902,174,0
1541938501,117,0
1541942102,139,0
1541945702,136,0
1541949302,132,0
1541952902,163,0
1541956502,152,0
1541960102,188,0
1541963702,141,0
1541967302,141,0
1541970902,127,0
1541974502,131,0
1541978102,127,0
1541981702,167,3617
1541985302,163,0
1541988902,196,0
1541992502,148,0
1541996102,133,0
1541999702,132,0
1542003302,154,0
1542006902,186,0
1542010502,211,0
1542014102,335,0
1542017702,300,0
1542021301,591,0
1542024902,170,0
1542028502,193,0
1542032102,172,0
1542035702,316,0
1542039302,218,0
1542042902,156,0
1542046502,139,0
1542050102,151,0
1542053702,156,0
1542057302,137,0
1542060902,146,0
1542064502,144,0
1542068102,140,3585
1542071702,133,0
1542075303,178,0
1542078902,156,0
1542082502,151,0
1542086102,157,0
1542089702,180,0
1542093302,199,0
1542096902,239,0
1542100502,266,0
1542104102,592,0
1542107702,341,0
1542111302,291,0
1542114902,304,0
1542118502,247,0
1542122102,180,0
1542125702,289,0
1542129302,224,0
1542132902,169,0
1542136502,166,0
1542140102,184,0
1542143702,142,0
1542147302,143,0
1542150902,136,0
1542154502,144,4643
1542158102,189,0
1542161703,183,0
1542165302,107,0
1542168902,129,0
1542172502,157,0
1542176103,143,0
1542179702,304,0
1542183302,296,0
1542186902,357,0
1542190502,217,0
1542194101,202,0
1542197703,205,0
1542201302,187,0
1542204902,127,0
1542208502,175,0
1542212102,143,0
1542215702,138,0
1542219303,123,0
1542222902,136,0
1542226502,239,0
1542230103,250,0
1542233702,251,0
1542237302,277,0
1542240902,240,5337
1542244502,241,0
1542248102,172,0
1542251702,129,0
1542255302,515,0
1542258902,271,0
1542262502,177,0
1542266102,171,0
1542269702,197,0
1542273302,169,0
1542276902,152,0
1542280502,186,0
1542284102,211,0
1542287702,258,0
1542291302,195,0
1542294902,243,0
1542298502,252,0
1542302102,227,0
1542305702,287,0
1542309302,189,0
1542312902,137,0
1542316502,108,0
1542320102,157,0
1542323702,124,5
1542327302,94,4832
1542330902,138,0
1542334502,151,0
1542338102,124,0
1542341702,146,0
1542345302,158,0
1542348902,187,0
1542352502,180,0
1542356102,211,0
1542359702,201,0
1542363302,208,0
1542366902,208,0
1542370502,181,0
1542374102,175,0
1542377702,190,0
1542381302,187,0
1542384902,210,0
1542388502,205,0
1542392102,167,0
1542395702,162,0
1542399302,152,0
1542402902,146,0
1542406502,159,0
1542410102,127,0
1542413702,141,4909
1542417302,145,0
1542420902,150,0
1542424502,163,0
1542428102,124,0
1542431702,138,0
1542435302,185,0
1542438901,183,0
1542442503,146,0
1542446102,173,0
1542449702,203,0
1542453302,191,0
1542456902,211,0
1542460502,206,0
1542464102,202,0
1542467702,178,0
1542471302,142,0
1542474902,190,0
1542478502,131,0
1542482102,147,0
1542485702,118,0
1542489302,156,0
1542492902,135,0
1542496502,148,0
1542500102,174,4131
1542503702,176,0
1542507302,175,0
1542510902,166,0
1542514502,149,0
1542518102,146,0
1542521702,237,0
1542525302,146,0
1542528902,183,0
1542532502,120,0
1542536102,160,0
1542539702,145,0
1542543302,191,0
1542546902,190,0
1542550502,151,0
1542554102,158,0
1542557702,198,0
1542561302,162,0
1542564901,161,0
1542568502,204,0
1542572102,156,0
1542575702,158,0
1542579302,140,0
1542582902,128,0
1542586502,174,3874
1542590102,176,0
1542593702,153,0
1542597302,171,0
1542600902,148,0
1542604502,232,0
1542608102,179,0
1542611702,200,0
1542615302,813,0
1542618902,504,0
1542622502,419,0
1542626102,205,0
1542629702,233,0
1542633302,334,0
1542636902,307,0
1542640502,287,0
1542644102,387,0
1542647702,235,0
1542651302,166,0
1542654902,142,0
1542658502,155,0
1542662102,127,0
1542665702,195,0
1542669302,150,0
1542672902,161,3966
1542676502,240,0
1542680102,205,0
1542683702,206,0
1542687302,208,0
1542690902,222,0
1542694501,490,0
1542698102,197,0
1542701702,210,0
1542705302,188,0
1542708902,210,0
1542712502,232,0
1542716102,173,0
1542719702,169,0
1542723302,266,0
1542726902,206,0
1542730502,253,0
1542734102,150,0
1542737702,161,0
1542741302,380,0
1542744902,145,0
1542748502,131,0
1542752102,166,0
1542755702,166,0
1542759302,131,5920
1542762902,176,0
1542766502,160,0
1542770102,159,0
1542773702,203,0
1542777302,207,0
1542780902,184,0
1542784502,192,0
1542788102,225,0
1542791702,212,0
1542795302,171,0
1542798902,402,0
1542802502,278,0
1542806103,246,0
1542809702,237,0
1542813303,219,0
1542816902,174,0
1542820502,192,0
1542824102,174,0
1542827702,177,0
1542831302,113,0
1542834902,158,0
1542838502,158,0
1542842102,140,0
1542845702,142,5248
1542849302,159,0
1542852902,202,0
1542856501,158,0
1542860102,123,0
1542863702,229,0
1542867302,234,0
1542870902,257,0
1542874502,301,0
1542878102,575,0
1542881702,347,0
1542885302,192,0
1542888902,204,0
1542892502,216,0
1542896102,184,0
1542899702,174,0
1542903302,182,0
1542906902,137,0
1542910503,160,0
1542914102,133,0
1542917702,159,0
1542921303,177,0
1542924902,176,0
1542928502,117,0
1542932102,191,4646
1542935702,170,0
1542939302,158,0
1542942902,207,0
1542946503,158,0
1542950102,201,0
1542953702,167,0
1542957302,262,0
