DateTime,AddedIPs,RemovedIPs
1540549230,4,7
1540556442,3,4
1540563643,5,2
1540565434,4,0
1540570820,3,4
1540578030,3,3
1540585230,5,1
1540587028,0,7
1540592424,2,4
1540599633,1,4
1540605919,0,1
1540607723,2,6
1540609529,0,1
1540614038,4,4
1540617628,0,1
1540621231,3,3
1540622133,1,0
1540628430,2,0
1540635625,4,3
1540638336,1,0
1540642838,4,4
1540650037,0,7
1540650928,0,1
1540651823,0,5
1540658128,4,5
1540664424,3,2
1540671632,9,5
1540678831,2,3
1540686024,2,5
1540693234,6,6
1540694126,1,0
1540698633,2,0
1540700431,4,7
1540701332,1,0
1540703135,1,0
1540708528,3,4
1540710335,1,0
1540713025,0,1
1540714826,5,5
1540722027,2,8
1540723944,0,1
1540726697,0,1
1540728337,1,0
1540729240,4,6
1540736438,5,4
1540743638,2,4
1540750832,2,5
1540753538,1,0
1540758030,2,2
1540766127,0,2
1540772429,2,3
1540779629,1,6
1540786828,2,4
1540787723,1,0
1540794034,4,2
1540801239,3,6
1540808428,3,5
1540811146,1,1
1540815636,4,5
1540816537,0,1
1540822834,2,5
1540830039,4,3
1540837244,3,6
1540838176,0,1
1540844435,0,2
1540852535,5,1
1540858833,4,0
1540861533,0,1
1540866032,1,3
1540866937,1,0
1540873226,4,1
1540880432,1,5
1540887635,2,3
1540892130,0,1
1540893934,0,1
1540894827,5,1
1540895726,1,0
1540902034,6,5
1540909239,2,4
1540916431,3,3
1540920034,1,0
1540923632,9,3
1540930829,3,2
1540938022,4,0
1540945233,1,4
1540952436,4,2
1540953332,1,0
1540956938,1,0
1540957841,1,0
1540959633,4,4
1540965038,1,0
1540966831,4,7
1540974943,2,5
1540981232,9,4
1540988428,3,2
1540995634,7,5
1541002843,1,3
1541006431,1,1
1541010030,4,0
1541017246,1,2
1541024431,1,3
1541031634,5,0
1541038841,9,5
1541046035,4,1
1541046932,2,0
1541049628,0,1
1541053236,4,4
1541060429,6,4
1541062226,0,1
1541064029,0,1
1541067630,5,4
1541070429,0,1
1541071361,1,0
1541074830,2,2
1541082034,5,3
1541085635,1,0
1541087424,4,0
1541089236,7,7
1541096429,4,6
1541103628,5,0
1541110837,0,4
1541118040,5,2
1541125235,3,1
1541132428,8,7
1541135131,1,0
1541139629,3,3
1541146829,6,5
1541154042,2,5
1541161230,2,7
1541168433,7,5
1541173836,0,4
1541175623,5,4
1541180127,0,2
1541182827,4,4
1541190027,6,2
1541197234,3,3
1541204437,3,2
1541207128,0,1
1541211630,1,3
1541218828,3,5
1541226035,5,5
1541233236,1,8
1541240434,5,2
1541247633,4,3
1541254839,3,4
1541256632,0,1
1541262034,2,3
1541269230,2,2
1541276431,5,15
1541283621,4,2
1541290834,1,1
1541298045,1,7
1541305235,5,6
1541306138,1,0
1541312428,0,7
1541316038,2,1
1541323237,2,0
1541326838,0,3
1541330440,5,0
1541334036,0,5
1541337628,3,0
1541341228,0,1
1541344838,2,2
1541348434,0,5
1541352033,3,0
1541355632,0,3
1541359237,4,1
1541366431,1,1
1541370036,0,1
1541373633,4,0
1541380832,0,1
1541384435,0,2
1541387131,1,0
1541388034,1,0
1541391636,0,4
1541395231,10,0
1541398839,0,3
1541402431,4,0
1541406039,0,4
1541409630,3,2
1541413240,0,2
1541416834,6,0
1541424047,1,1
1541427630,0,1
1541430367,8,0
1541431234,3,0
1541434836,0,3
1541437535,0,1
1541438429,4,0
1541439332,0,1
1541442040,0,3
1541445634,1,0
1541449239,0,2
1541452838,5,1
1541460050,4,0
1541463650,1,1
1541467249,1,0
1541470849,0,2
1541474442,1,2
1541478045,0,17
1541481650,5,0
1541488846,5,6
1541496041,1,8
1541502340,2,0
1541503246,3,4
1541508631,0,6
1541510442,3,0
1541516770,0,8
1541517642,5,5
1541524848,3,1
1541532054,2,1
1541532956,1,0
1541539249,1,1
1541546449,3,2
1541547349,0,1
1541553649,3,5
1541555434,0,1
1541560829,1,4
1541568030,5,3
1541575252,3,2
1541582438,3,3
1541589763,3,3
1541596843,3,2
1541604042,3,4
1541611239,3,3
1541614856,1,0
1541616658,0,1
1541618444,3,2
1541625632,1,2
1541632831,9,1
1541636442,1,1
1541640050,10,2
1541644543,1,0
1541647245,5,4
1541654439,4,6
1541661637,4,1
1541665237,0,1
1541668831,4,4
1541675133,0,3
1541676032,4,4
1541682342,1,0
1541683232,1,6
1541689622,0,1
1541690433,2,0
1541692242,1,0
1541697646,1,4
1541701244,1,0
1541704845,2,3
1541712040,4,1
1541719235,7,2
1541726451,1,1
1541728245,1,0
1541733651,4,7
