DateTime,AddedIPs,RemovedIPs
1540980204,2,0
1540983745,1,1
1540987406,2,0
1540990948,3,2
1540994604,3,1
1540998146,1,0
1541001804,0,2
1541005344,1,0
1541009008,1,2
1541012544,1,0
1541019746,0,3
1541023345,1,1
1541030544,2,1
1541037807,0,8
1541041405,1,0
1541044947,0,4
1541048605,2,0
1541052205,1,2
1541055745,2,2
1541059347,2,0
1541063006,2,1
1541066604,2,2
1541073746,1,1
1541077406,0,2
1541081006,1,0
1541084546,1,2
1541088205,3,0
1541091747,2,0
1541095406,2,3
1541098948,2,2
1541109747,0,1
1541113406,1,0
1541117005,3,1
1541120608,1,0
1541124206,1,4
1541127806,5,2
1541131345,2,0
1541134946,1,1
1541138606,1,0
1541142146,2,2
1541145747,3,2
1541149346,0,7
1541153006,1,16
1541156606,1,0
1541160206,0,6
1541163806,1,6
1541167409,3,2
1541170946,3,1
1541178208,0,3
1541181746,3,0
1541185406,1,0
1541189006,2,1
1541192610,1,0
1541196146,1,1
1541203408,2,1
1541214147,2,4
1541217746,0,2
1541221346,2,2
1541225007,1,0
1541228547,1,1
1541235808,2,11
1541243007,4,5
1541250208,1,4
1541253807,1,2
1541257349,1,0
1541261008,1,3
1541268150,1,2
1541271808,1,0
1541275349,3,0
1541279008,0,1
1541282608,1,2
1541286208,1,0
1541289747,0,2
1541293347,0,1
1541296949,0,3
1541300608,1,8
1541304208,1,0
1541311347,1,1
1541315008,1,3
1541318549,1,1
1541322210,0,2
1541329411,3,0
1541332947,0,2
1541336610,2,1
1541341227,1,0
1541343809,0,1
1541347349,1,0
1541350948,0,1
1541354610,2,3
1541358148,2,0
1541361748,0,1
1541365410,1,0
1541369010,1,0
1541372550,2,0
1541376208,0,3
1541379752,0,2
1541383348,0,1
1541387010,1,0
1541390549,1,3
1541394211,2,0
1541397751,1,2
1541401352,2,0
1541405010,1,3
1541412150,2,5
1541415754,3,1
1541419412,0,2
1541423009,1,0
1541426553,1,1
1541430209,1,3
1541437352,1,2
1541444612,1,1
1541448212,3,0
1541451810,1,7
1541455350,1,0
1541458953,0,2
1541466210,0,1
1541469810,0,2
1541473350,1,3
1541480550,4,1
1541487751,3,2
1541495011,1,0
1541498610,1,0
1541502151,1,2
1541509411,2,6
1541513011,1,0
1541516551,4,1
1541520211,1,0
1541523815,1,2
1541527413,1,0
1541531012,1,2
1541534610,1,0
1541541751,1,1
1541545352,1,0
1541548951,1,0
1541552613,1,1
1541556216,0,2
1541563351,1,5
1541567013,3,0
1541570551,0,2
1541574212,2,0
1541577755,1,2
1541581410,0,3
1541585012,1,1
1541592150,3,1
1541599351,1,4
1541603013,2,0
1541606611,2,1
1541610215,0,1
1541613753,2,0
1541617353,1,0
1541621013,1,0
1541628211,1,0
1541631814,1,0
1541635415,2,2
1541642554,4,1
1541646212,1,0
1541649755,1,4
1541653415,2,0
1541656955,2,2
1541660613,2,0
1541664151,1,0
1541667754,2,1
1541671354,0,3
1541674952,3,0
1541678552,0,1
1541682215,1,0
1541685755,1,0
1541692956,0,1
1541696614,0,2
1541700154,0,4
1541703756,1,0
1541707416,1,2
1541711015,3,0
1541714555,1,0
1541718216,5,1
1541721818,1,2
1541725353,0,1
1541728953,1,13
1541732552,2,3
1541736214,1,25
1541739758,2,0
1541743414,0,5
1541747013,1,0
1541750553,2,27
1541757754,2,3
1541761354,0,2
1541764956,2,0
1541768614,0,1
1541771372,1,0
1541775756,2,2
1541779414,2,1
1541782954,3,0
1541786615,3,0
1541790215,1,2
1541797358,3,0
1541800954,0,1
1541804557,0,1
1541808216,2,0
1541811755,0,1
1541815419,2,2
1541818955,1,0
1541822617,1,5
1541826218,3,0
1541829759,0,2
1541833354,3,0
1541836954,2,4
1541840557,2,0
1541844213,1,3
1541847814,1,0
1541851415,1,1
1541855017,2,0
1541858554,1,1
1541862214,1,2
1541865757,3,0
1541869417,1,3
1541876615,0,1
1541880160,1,1
1541883817,0,2
1541887414,3,0
1541894617,5,2
1541901822,0,2
1541905361,4,0
1541908955,1,4
1541912617,2,2
1541916156,1,0
1541919815,2,1
1541923363,3,0
1541927019,3,2
1541930560,1,0
1541934220,2,5
1541937818,3,0
1541941355,1,2
1541944955,2,1
1541948557,1,0
1541952157,2,5
1541955818,1,0
1541959359,3,2
1541966618,0,1
1541973756,1,1
1541980959,0,1
1541984561,2,1
1541988218,1,0
1541991816,1,5
1541995355,2,0
1541998956,1,0
1542002616,1,0
1542006215,3,2
1542009757,1,0
1542013356,1,0
1542017838,3,5
1542020540,0,1
1542024140,2,0
1542027742,3,3
1542031401,2,0
1542035001,3,0
1542038543,0,1
1542042202,3,3
1542052942,4,3
1542056604,2,0
1542060202,2,0
1542063801,2,0
1542074601,0,2
1542078201,1,0
1542081741,3,2
1542085402,1,0
1542089002,0,4
1542092541,3,0
1542096200,3,3
1542099742,0,1
1542103341,3,4
1542107002,1,2
1542110602,2,1
1542117743,1,0
1542121343,1,1
1542124943,1,0
1542128602,4,0
1542132206,1,0
1542139340,1,0
1542143002,2,2
1542146607,1,0
1542150204,0,1
1542153804,3,0
1542157344,0,1
1542160941,1,0
1542164601,3,3
1542168141,1,0
1542171801,0,2
1542175400,1,0
1542179001,2,2
1542182600,2,0
1542186202,0,1
1542189802,3,6
1542193402,1,0
1542196942,1,4
1542200601,1,0
1542204201,1,0
1542207864,1,0
1542211403,1,0
1542215002,1,2
1542218601,1,0
1542222201,2,1
1542225741,1,1
1542229341,8,0
1542233001,5,2
1542236603,1,1
1542240204,5,0
1542243802,2,1
1542247401,1,0
1542251002,3,1
1542254601,3,0
1542258142,0,4
1542261806,2,0
1542265342,1,2
1542272606,1,2
1542276143,2,2
1542279746,2,2
1542283343,3,0
1542287004,0,1
1542290603,1,1
1542294144,3,0
1542297743,1,1
1542301345,1,0
1542305006,2,0
1542308542,1,1
1542312208,1,0
1542319346,0,1
1542323008,3,0
1542326605,0,1
1542330211,0,1
1542337342,2,1
1542340944,1,2
1542344544,1,4
1542348202,2,0
1542351803,2,3
1542355343,2,0
1542358942,1,0
1542362545,0,2
1542366207,1,0
1542369745,0,2
1542373343,1,0
1542376944,1,1
1542380544,6,0
1542384204,2,2
1542387804,2,0
1542391414,1,4
1542395003,1,4
1542402204,0,1
1542405749,2,1
1542409349,1,0
1542412943,0,1
1542416605,1,0
1542420146,1,3
1542423745,3,0
1542427350,4,1
1542431003,0,3
1542438204,2,0
1542441805,0,4
1542445343,2,0
1542448944,3,3
1542456145,0,2
1542459804,1,0
1542463344,1,5
1542466945,1,0
1542470607,4,3
1542474204,1,2
1542477747,2,1
1542481345,2,2
1542488544,3,3
1542492150,6,0
1542499408,1,0
1542503006,1,2
1542510205,1,3
1542513805,1,0
1542517404,0,3
1542521006,1,1
1542524546,2,0
1542528145,2,0
1542531745,2,3
1542535347,1,0
1542538946,2,1
1542542606,1,0
1542546205,0,3
1542549745,2,0
1542553407,1,0
1542556945,3,1
1542560605,2,2
1542564145,2,0
1542567808,1,4
1542574945,2,3
1542582205,2,0
1542592945,1,1
1542596546,2,0
1542600145,1,2
1542603806,3,6
1542607407,0,3
1542610945,2,0
1542614546,2,2
1542618206,1,1
1542621805,0,3
1542625346,2,5
1542632546,4,3
1542639748,1,7
1542643407,2,0
1542647005,2,0
1542650607,1,0
1542654206,2,1
1542661407,1,2
1542672147,1,0
1542675810,0,1
1542683006,2,3
1542686546,1,0
1542690206,0,2
1542693746,2,0
1542697406,1,0
1542701008,0,1
1542704546,0,3
1542708149,2,4
1542711746,1,0
1542715348,0,1
1542719009,3,0
1542726148,3,0
1542729807,6,1
1542733347,4,0
1542737008,0,1
1542740607,1,0
1542744147,1,1
1542747808,1,0
1542758607,0,1
1542762148,0,1
1542765809,0,4
1542769348,1,1
1542772949,3,0
1542776608,1,0
1542780148,0,2
1542783747,2,0
1542787348,1,3
1542794608,1,2
1542798149,0,1
1542805409,0,1
1542809009,1,3
1542812549,3,0
1542816148,2,0
1542819810,0,3
1542823348,1,4
1542826950,1,0
1542830608,1,0
1542837811,2,0
1542841409,1,2
1542845013,1,0
1542848610,1,0
1542852210,0,1
1542855808,1,4
1542859409,3,0
1542860067,0,7
1542866611,2,7
1542870148,2,0
1542873809,1,1
1542877410,3,3
1542880948,1,0
1542884611,1,2
1542888153,1,1
1542891811,0,2
1542895414,2,0
1542898950,3,2
1542906154,3,1
1542909756,4,2
1542916952,2,3
1542920611,0,1
1542924153,2,0
1542931414,1,0
1542935009,1,1
1542938676,0,3
1542942149,2,2
1542945811,1,0
1542949412,1,1
1542953010,0,1
1542956549,2,0
1542960152,0,2
1542963750,1,0
1542967352,0,5
1542974549,1,3
1542978209,1,0
1542981810,1,1
1542985410,1,0
1542988952,1,0
1542992550,2,3
1542996150,3,0
1542999811,1,2
1543003349,1,0
1543010610,1,0
1543014150,1,1
1543017812,1,4
1543021350,0,5
1543024950,1,0
1543028614,3,4
1543032211,2,0
1543039356,0,3
1543043010,2,3
1543046613,1,0
1543050153,1,1
