DateTime,Entries,UniqueIPs
1540980204,1743,1866
1540983745,1743,1866
1540987406,1745,1868
1540990948,1746,1869
1540994604,1748,1871
1540998146,1749,1872
1541001804,1747,1870
1541005344,1748,1871
1541009008,1747,1870
1541012544,1748,1871
1541019746,1745,1868
1541023345,1745,1868
1541030544,1746,1869
1541037807,1739,1861
1541041405,1740,1862
1541044947,1737,1858
1541048605,1739,1860
1541052205,1737,1859
1541055745,1737,1859
1541059347,1739,1861
1541063006,1739,1862
1541066604,1739,1862
1541073746,1739,1862
1541077406,1737,1860
1541081006,1738,1861
1541084546,1737,1860
1541088205,1740,1863
1541091747,1742,1865
1541095406,1741,1864
1541098948,1741,1864
1541109747,1740,1863
1541113406,1741,1864
1541117005,1743,1866
1541120608,1744,1867
1541124206,1741,1864
1541127806,1742,1867
1541131345,1744,1869
1541134946,1744,1869
1541138606,1745,1870
1541142146,1746,1870
1541145747,1747,1871
1541149346,1741,1864
1541153006,1726,1849
1541156606,1727,1850
1541160206,1721,1844
1541163806,1717,1839
1541167409,1718,1840
1541170946,1720,1842
1541178208,1717,1839
1541181746,1720,1842
1541185406,1721,1843
1541189006,1722,1844
1541192610,1723,1845
1541196146,1723,1845
1541203408,1724,1846
1541214147,1722,1844
1541217746,1721,1842
1541221346,1721,1842
1541225007,1722,1843
1541228547,1722,1843
1541235808,1713,1834
1541243007,1712,1833
1541250208,1709,1830
1541253807,1708,1829
1541257349,1709,1830
1541261008,1707,1828
1541268150,1706,1827
1541271808,1707,1828
1541275349,1710,1831
1541279008,1709,1830
1541282608,1708,1829
1541286208,1709,1830
1541289747,1707,1828
1541293347,1706,1827
1541296949,1703,1824
1541300608,1696,1817
1541304208,1697,1818
1541311347,1697,1818
1541315008,1695,1816
1541318549,1695,1816
1541322210,1693,1814
1541329411,1696,1817
1541332947,1694,1815
1541336610,1695,1816
1541341227,1696,1817
1541343809,1695,1816
1541347349,1696,1817
1541350948,1695,1816
1541354610,1694,1815
1541358148,1696,1817
1541361748,1695,1816
1541365410,1696,1817
1541369010,1697,1818
1541372550,1699,1820
1541376208,1696,1817
1541379752,1694,1815
1541383348,1693,1814
1541387010,1694,1815
1541390549,1692,1813
1541394211,1694,1815
1541397751,1693,1814
1541401352,1695,1816
1541405010,1692,1814
1541412150,1689,1811
1541415754,1691,1813
1541419412,1689,1811
1541423009,1689,1812
1541426553,1689,1812
1541430209,1687,1810
1541437352,1686,1809
1541444612,1686,1809
1541448212,1689,1812
1541451810,1687,1806
1541455350,1688,1807
1541458953,1686,1805
1541466210,1685,1804
1541469810,1683,1802
1541473350,1681,1800
1541480550,1683,1803
1541487751,1684,1804
1541495011,1685,1805
1541498610,1686,1806
1541502151,1685,1805
1541509411,1681,1801
1541513011,1682,1802
1541516551,1685,1805
1541520211,1686,1806
1541523815,1685,1805
1541527413,1686,1806
1541531012,1685,1805
1541534610,1686,1806
1541541751,1686,1806
1541545352,1687,1807
1541548951,1688,1808
1541552613,1688,1808
1541556216,1686,1806
1541563351,1682,1802
1541567013,1685,1805
1541570551,1683,1803
1541574212,1685,1805
1541577755,1684,1804
1541581410,1681,1801
1541585012,1681,1801
1541592150,1683,1803
1541599351,1680,1800
1541603013,1682,1802
1541606611,1682,1803
1541610215,1681,1802
1541613753,1683,1804
1541617353,1684,1805
1541621013,1684,1806
1541628211,1685,1807
1541631814,1686,1808
1541635415,1686,1808
1541642554,1689,1811
1541646212,1690,1812
1541649755,1687,1809
1541653415,1689,1811
1541656955,1689,1811
1541660613,1691,1813
1541664151,1692,1814
1541667754,1693,1815
1541671354,1691,1812
1541674952,1694,1815
1541678552,1693,1814
1541682215,1694,1815
1541685755,1695,1816
1541692956,1694,1815
1541696614,1692,1813
1541700154,1689,1809
1541703756,1690,1810
1541707416,1689,1809
1541711015,1692,1812
1541714555,1693,1813
1541718216,1697,1817
1541721818,1696,1816
1541725353,1695,1815
1541728953,1683,1803
1541732552,1682,1802
1541736214,1658,1778
1541739758,1660,1780
1541743414,1655,1775
1541747013,1656,1776
1541750553,1631,1751
1541757754,1630,1750
1541761354,1628,1748
1541764956,1630,1750
1541768614,1629,1749
1541771372,1630,1750
1541775756,1630,1750
1541779414,1631,1751
1541782954,1634,1754
1541786615,1637,1757
1541790215,1636,1756
1541797358,1639,1759
1541800954,1638,1758
1541804557,1637,1757
1541808216,1639,1759
1541811755,1638,1758
1541815419,1638,1758
1541818955,1639,1759
1541822617,1635,1755
1541826218,1638,1758
1541829759,1636,1756
1541833354,1639,1759
1541836954,1638,1757
1541840557,1640,1759
1541844213,1638,1757
1541847814,1639,1758
1541851415,1639,1758
1541855017,1641,1760
1541858554,1641,1760
1541862214,1640,1759
1541865757,1643,1762
1541869417,1641,1760
1541876615,1640,1759
1541880160,1640,1759
1541883817,1638,1757
1541887414,1641,1760
1541894617,1644,1763
1541901822,1642,1761
1541905361,1646,1765
1541908955,1643,1762
1541912617,1641,1762
1541916156,1642,1763
1541919815,1643,1764
1541923363,1646,1767
1541927019,1647,1768
1541930560,1648,1769
1541934220,1645,1766
1541937818,1648,1769
1541941355,1647,1768
1541944955,1649,1769
1541948557,1650,1770
1541952157,1647,1767
1541955818,1648,1768
1541959359,1648,1769
1541966618,1647,1768
1541973756,1647,1768
1541980959,1646,1767
1541984561,1647,1768
1541988218,1648,1769
1541991816,1644,1765
1541995355,1646,1767
1541998956,1647,1768
1542002616,1648,1769
1542006215,1649,1770
1542009757,1650,1771
1542013356,1651,1772
1542017838,1649,1770
1542020540,1648,1769
1542024140,1650,1771
1542027742,1650,1771
1542031401,1652,1773
1542035001,1655,1776
1542038543,1654,1775
1542042202,1654,1775
1542052942,1655,1776
1542056604,1657,1778
1542060202,1659,1780
1542063801,1661,1782
1542074601,1659,1780
1542078201,1660,1781
1542081741,1661,1782
1542085402,1662,1783
1542089002,1658,1779
