DateTime,AddedIPs,RemovedIPs
1541113406,1,1
1541117005,4,1
1541120608,1,2
1541124206,2,1
1541127806,6,2
1541131345,3,2
1541134946,1,4
1541138606,1,1
1541142146,2,3
1541145747,4,5
1541153006,1,0
1541156606,2,2
1541160206,1,1
1541163806,1,2
1541167409,3,3
1541170946,4,1
1541174546,1,0
1541178208,1,4
1541181746,3,3
1541185406,1,2
1541189006,3,1
1541192610,1,0
1541196146,1,0
1541203408,2,0
1541214147,3,3
1541217746,0,3
1541221346,2,2
1541225007,1,3
1541228547,1,2
1541232208,0,2
1541235808,2,2
1541239407,1,1
1541243007,5,2
1541246547,1,0
1541250208,1,0
1541253807,2,0
1541257349,2,1
1541261008,1,1
1541268150,1,3
1541271808,2,1
1541275349,3,2
1541279008,0,1
1541282608,1,0
1541286208,1,0
1541296949,0,2
1541300608,2,3
1541304208,5,1
1541307808,0,1
1541311347,1,1
1541315008,1,19
1541318549,2,4
1541322210,1,1
1541329411,4,8
1541332947,0,1
1541336610,2,2
1541340148,2,0
1541341227,1,0
1541347349,1,1
1541350948,0,2
1541354610,2,1
1541358148,2,1
1541365410,1,2
1541369010,1,11
1541372550,2,0
1541376208,0,2
1541379752,0,1
1541383348,1,0
1541387010,1,4
1541390549,6,1
1541394211,6,4
1541397751,1,1
1541401352,3,2
1541405010,1,3
1541408548,2,0
1541412150,2,1
1541415754,3,2
1541419412,1,0
1541423009,1,1
1541426553,2,1
1541430209,2,1
1541433812,1,3
1541437352,1,4
1541441011,1,2
1541444612,2,1
1541448212,4,1
1541451810,2,2
1541455350,16,1
1541458953,1,1
1541466210,0,1
1541469810,1,1
1541473350,1,1
1541480550,4,4
1541484209,0,3
1541487751,4,2
1541495011,1,1
1541498610,1,3
1541502151,2,0
1541505810,0,1
1541509411,2,3
1541513011,1,1
1541516551,4,4
1541520211,1,0
1541523815,1,1
1541527413,1,2
1541531012,1,3
1541534610,2,1
1541541751,1,2
1541545352,1,1
1541548951,2,1
1541552613,2,1
1541563351,1,1
1541567013,3,7
1541570551,1,0
1541574212,2,3
1541577755,1,2
1541581410,1,1
1541585012,2,1
1541588612,2,0
1541592150,3,0
1541595812,0,2
1541599351,1,3
1541603013,2,1
1541606611,2,1
1541610215,0,5
1541613753,2,1
1541617353,1,2
1541621013,1,2
1541624554,0,1
1541628211,1,1
1541631814,17,0
1541635415,12,2
1541642554,4,3
1541646212,1,0
1541649755,1,1
1541653415,2,2
1541656955,8,3
1541660613,2,2
1541664151,1,0
1541667754,2,1
1541671354,0,1
1541674952,3,4
1541678552,0,2
1541682215,1,2
1541685755,1,3
1541689415,1,2
1541692956,1,0
1541696614,1,1
1541700154,0,1
1541703756,2,4
1541707416,1,0
1541711015,4,1
1541714555,1,0
1541718216,5,4
1541721818,1,2
1541725353,1,0
1541728953,1,1
1541732552,2,2
1541736214,1,1
1541739758,3,3
1541747013,2,1
1541750553,2,5
1541757754,2,1
1541761354,0,1
1541764956,3,3
1541768614,1,1
1541771372,1,0
1541772216,0,1
1541775756,3,3
1541779414,2,2
1541782954,3,2
1541786615,3,2
1541790215,1,4
1541797358,3,0
1541800954,0,1
1541808216,2,3
1541815419,2,2
1541818955,1,2
1541822617,1,2
1541826218,5,3
1541833354,3,3
1541836954,2,4
1541840557,2,2
1541844213,1,3
1541847814,1,8
1541851415,2,1
1541855017,3,1
1541858554,1,0
1541862214,2,1
1541865757,4,2
1541869417,1,2
1541872954,1,3
1541876615,0,2
1541880160,1,0
1541883817,0,2
1541887414,3,2
1541891014,0,2
1541894617,6,1
1541898219,0,2
1541901822,1,0
1541905361,4,2
1541908955,1,1
1541912617,2,1
1541916156,1,0
1541919815,2,1
1541923363,4,6
1541927019,3,4
1541930560,2,1
1541934220,3,6
1541937818,3,1
1541941355,2,1
1541944955,2,2
1541948557,1,2
1541952157,2,3
1541955818,1,5
1541959359,4,1
1541963015,1,1
1541966618,2,5
1541970218,1,0
1541973756,1,1
1541980959,2,5
1541984561,2,2
1541988218,2,1
1541991816,1,2
1541995355,2,1
1541998956,2,2
1542002616,1,1
1542006215,5,5
1542009757,1,1
1542013356,2,1
1542017016,0,1
1542017838,3,1
1542020540,10,0
1542024140,3,2
1542027742,4,4
1542031401,4,3
1542035001,4,3
1542038543,1,1
1542042202,3,4
1542045743,0,1
1542049403,0,2
1542052942,5,7
1542056604,2,1
1542060202,2,3
1542063801,2,1
1542067404,1,1
1542071005,1,2
1542078201,1,1
1542081741,3,3
1542085402,1,1
1542089002,2,0
1542092541,3,4
1542096200,5,2
1542099742,0,2
1542103341,5,1
1542107002,1,7
1542110602,4,3
1542114204,1,2
1542117743,1,3
1542121343,2,3
1542124943,1,2
1542128602,4,3
1542132206,3,2
1542139340,1,1
1542143002,3,3
1542146607,1,0
1542150204,0,3
1542153804,3,0
1542157344,0,1
1542160941,3,1
1542164601,3,4
1542168141,1,1
1542171801,1,0
1542175400,2,4
1542179001,4,4
1542182600,4,3
1542186202,0,1
1542189802,3,2
1542193402,2,0
1542196942,3,0
1542200601,1,4
1542204201,2,4
1542207864,1,2
1542211403,1,0
1542215002,1,1
1542218601,2,3
1542222201,3,5
1542225741,2,1
